"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FN1",3.92843244281089e-253,0.779304730089594,0.988,0.923,8.4319873952493e-249,"0","FN1"
"LYZ",1.09656349819526e-181,1.58783562759594,0.377,0.117,2.35366389252632e-177,"0","LYZ"
"HLA-DRA",2.97602266664626e-175,1.06632468332796,0.682,0.414,6.38773505168953e-171,"0","HLA-DRA"
"HLA-DRB1",8.23958021802091e-165,1.0126681824403,0.637,0.356,1.76854349799601e-160,"0","HLA-DRB1"
"MMP3",1.66090090906961e-158,0.642658699123039,0.83,0.646,3.56495771122701e-154,"0","MMP3"
"PRG4",8.122782118129e-145,0.51326474961951,0.963,0.913,1.74347395383521e-140,"0","PRG4"
"FTH1",3.51012917865162e-137,0.69358659091279,0.876,0.703,7.53414126905784e-133,"0","FTH1"
"HLA-DRB5",2.81743893581915e-136,1.07735417645578,0.352,0.126,6.04735093184222e-132,"0","HLA-DRB5"
"CYP1B1",3.18670553062363e-119,0.824762449392099,0.572,0.328,6.83994475093056e-115,"0","CYP1B1"
"CLU",1.32839842252082e-118,0.517038737755859,0.895,0.771,2.85127437409868e-114,"0","CLU"
"CD74",1.71844576752352e-112,0.699359651981806,0.781,0.588,3.68847199541249e-108,"0","CD74"
"MT2A",1.8936668094813e-112,0.418863090507115,0.902,0.78,4.06456643987065e-108,"0","MT2A"
"ACTB",2.24856650115453e-112,0.601465931876207,0.849,0.691,4.82632313807809e-108,"0","ACTB"
"MMP1",7.67149432059504e-109,0.842262223075336,0.423,0.198,1.64660954097252e-104,"0","MMP1"
"S100A4",1.46855423190091e-103,0.616576512535284,0.735,0.519,3.15210480335211e-99,"0","S100A4"
"PLA2G2A",9.84643947566387e-102,0.617715044405306,0.788,0.62,2.11343976905649e-97,"0","PLA2G2A"
"COL6A3",1.12244254637899e-100,0.675818613316065,0.599,0.383,2.40921068154786e-96,"0","COL6A3"
"HTRA1",2.10128923679193e-96,0.647462314757818,0.67,0.463,4.5102072178502e-92,"0","HTRA1"
"HLA-DQA1",4.33426773243651e-89,0.95503863245886,0.292,0.12,9.30307226090172e-85,"0","HLA-DQA1"
"CTSB",4.66425162044181e-76,0.919641931669203,0.308,0.147,1.00113496781163e-71,"0","CTSB"
"COL1A2",6.9802114850575e-76,0.507014220561801,0.652,0.463,1.49823259315274e-71,"0","COL1A2"
"CXCL2",8.58822398374489e-75,0.806835367701242,0.322,0.156,1.843376395871e-70,"0","CXCL2"
"FTL",3.88289450146035e-73,0.764948157675757,0.829,0.732,8.3342447579345e-69,"0","FTL"
"IGFBP5",8.31642515451005e-73,0.608458366127925,0.488,0.288,1.78503749516404e-68,"0","IGFBP5"
"LUM",5.51525343654581e-71,0.518856709165984,0.601,0.419,1.18379399762019e-66,"0","LUM"
"S100A6",8.85287592364835e-71,0.402145279855712,0.837,0.669,1.90018128825188e-66,"0","S100A6"
